model_id,model_label,model_name,config_file,batch_size,context_tokens,context_label,official_max_context_tokens,is_extrapolated,active_parameters,parameter_flops_per_token,attention_flops_per_token,index_flops_per_token,state_flops_per_token,extra_flops_per_token,total_flops_per_token,weight_read_bytes_per_token,kv_read_bytes_per_token,kv_write_bytes_per_token,index_read_bytes_per_token,index_write_bytes_per_token,state_read_bytes_per_token,state_write_bytes_per_token,activation_bytes_per_token,other_read_bytes_per_token,total_bytes_per_token,bytes_per_flop,tbps_per_pflops,kv_cache_bytes_per_request,index_cache_bytes_per_request,state_cache_bytes_per_request,total_cache_bytes_per_request,expert_weight_sets_read
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,128,128,131072,false,36624596992.0,73249193984.0,2174746624.0,0.0,0.0,0.0,75423940608.0,6771056086.796417,2248704.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6773325942.796417,0.08980339515803541,89.80339515803541,2248704.0,0.0,0.0,2248704.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,256,256,131072,false,36624596992.0,73249193984.0,4349493248.0,0.0,0.0,0.0,77598687232.0,6771056086.796417,4497408.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6775574646.796417,0.08731558340077586,87.31558340077586,4497408.0,0.0,0.0,4497408.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,512,512,131072,false,36624596992.0,73249193984.0,8698986496.0,0.0,0.0,0.0,81948180480.0,6771056086.796417,8994816.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6780072054.796417,0.08273609023511069,82.7360902351107,8994816.0,0.0,0.0,8994816.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,1024,1K,131072,false,36624596992.0,73249193984.0,17397972992.0,0.0,0.0,0.0,90647166976.0,6771056086.796417,17989632.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6789066870.796417,0.07489552180482276,74.89552180482276,17989632.0,0.0,0.0,17989632.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,2048,2K,131072,false,36624596992.0,73249193984.0,34795945984.0,0.0,0.0,0.0,108045139968.0,6771056086.796417,35979264.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6807056502.796417,0.06300196848106708,63.00196848106708,35979264.0,0.0,0.0,35979264.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,4096,4K,131072,false,36624596992.0,73249193984.0,69591891968.0,0.0,0.0,0.0,142841085952.0,6771056086.796417,71958528.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6843035766.796417,0.04790663499363156,47.90663499363156,71958528.0,0.0,0.0,71958528.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,8192,8K,131072,false,36624596992.0,73249193984.0,139183783936.0,0.0,0.0,0.0,212432977920.0,6771056086.796417,143917056.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,6914994294.796417,0.03255141627492757,32.551416274927576,143917056.0,0.0,0.0,143917056.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,16384,16K,131072,false,36624596992.0,73249193984.0,278367567872.0,0.0,0.0,0.0,351616761856.0,6771056086.796417,287834112.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,7058911350.796417,0.020075582613115872,20.075582613115873,287834112.0,0.0,0.0,287834112.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,32768,32K,131072,false,36624596992.0,73249193984.0,556735135744.0,0.0,0.0,0.0,629984329728.0,6771056086.796417,575668224.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,7346745462.796417,0.011661790803540184,11.661790803540184,575668224.0,0.0,0.0,575668224.0,"{""routed_ffn_experts"":163.31384595038296}"
deepseek_r1,DeepSeek-R1,DeepSeek-R1 MLA 4-bit weight+KV theoretical deployment,deepseek_r1_mla_4bit.json,32,65536,64K,131072,false,36624596992.0,73249193984.0,1113470271488.0,0.0,0.0,0.0,1186719465472.0,6771056086.796417,1151336448.0,17568.0,0.0,0.0,0.0,0.0,0.0,3584.0,7922413686.796417,0.006675894276028746,6.675894276028746,1151336448.0,0.0,0.0,1151336448.0,"{""routed_ffn_experts"":163.31384595038296}"
